Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
137,20,0,81.0,10355,0,1,0,0,2,0,0,5,5,1967,1967,0.0,196.0,1,1.0,0,0.0,695,0,519,1214,0,1214,0,0,1214,0,0,2,0,3,1,1,5,1,3.0,1967.0,0.0,1,318,0.0,0.0,0,0,111,0,0,0,0,0,7,2007,87124.20846170979
1370,20,0,48.0,10635,0,2,0,0,1,0,0,8,5,2003,2003,0.0,171.0,0,0.0,0,3.0,370,972,315,1657,0,1668,0,0,1668,1,0,2,0,3,1,0,8,1,1.0,2003.0,2.0,2,502,0.0,0.0,0,0,262,0,0,0,0,0,5,2010,271412.6228652606
907,20,0,116.0,13501,0,1,0,0,2,0,0,8,5,2006,2006,1.0,208.0,0,0.0,0,0.0,63,0,1560,1623,0,1636,0,0,1636,1,0,2,0,3,1,0,8,1,0.0,2006.0,0.0,3,865,0.0,0.0,0,0,60,0,0,0,0,0,6,2007,264329.52619211935
1229,120,0,65.0,8769,0,0,0,0,2,0,3,9,5,2008,2008,0.0,766.0,2,2.0,0,0.0,1540,0,162,1702,0,1702,0,0,1702,1,0,1,1,1,1,2,7,1,0.0,2008.0,2.0,3,1052,0.0,0.0,0,0,72,0,0,224,0,0,10,2008,383652.23882218497
250,50,0,63.5,159000,0,2,2,0,3,2,0,6,7,1958,2006,2.0,472.0,0,0.0,0,1.0,697,0,747,1444,0,1444,700,0,2144,0,1,2,0,4,1,0,7,2,1.0,1958.0,2.0,2,389,0.0,0.0,0,0,98,0,0,0,0,500,6,2007,220389.29829793982
878,60,0,74.0,8834,0,0,0,0,0,0,0,9,5,2004,2005,1.0,216.0,0,2.0,0,0.0,1170,0,292,1462,0,1462,762,0,2224,1,0,2,1,4,1,2,10,1,0.0,2004.0,2.0,3,738,0.0,0.0,0,184,0,0,0,0,0,0,6,2009,371163.22182101384
1274,80,0,124.0,11512,0,1,0,0,2,0,0,6,7,1959,2006,0.0,84.0,1,1.0,0,3.0,719,0,300,1019,0,1357,0,0,1357,1,0,1,0,2,1,2,5,1,0.0,1959.0,0.0,1,312,0.0,0.0,0,0,0,0,0,163,0,0,5,2008,144308.22205243213
177,60,0,97.0,10029,0,1,0,0,2,0,0,6,5,1988,1989,0.0,268.0,0,0.0,0,0.0,831,0,320,1151,0,1164,896,0,2060,0,1,2,1,4,1,1,8,1,1.0,1988.0,1.0,2,521,0.0,0.0,0,0,228,0,0,192,0,0,9,2007,205714.9213692099
611,60,0,63.25,11050,0,0,0,0,0,0,0,9,5,2000,2000,0.0,204.0,0,2.0,0,2.0,904,0,536,1440,0,1476,677,0,2153,1,0,2,1,3,1,2,8,2,2.0,2000.0,2.0,3,736,0.0,0.0,0,253,142,0,0,0,0,0,5,2009,380964.76500791777
800,50,0,60.0,7200,0,0,0,0,2,0,0,5,7,1937,1950,0.0,252.0,1,0.0,0,0.0,569,0,162,731,0,981,787,0,1768,1,0,1,1,3,1,0,7,2,1.0,1939.0,1.0,1,240,0.0,0.0,0,0,0,264,0,0,0,0,6,2007,161790.87072470784
23,20,0,75.0,9742,0,0,0,0,0,0,0,8,5,2002,2002,0.0,281.0,0,0.0,0,0.0,0,0,1777,1777,0,1795,0,0,1795,0,0,2,0,3,1,0,7,1,0.0,2002.0,0.0,2,534,0.0,0.0,0,171,159,0,0,0,0,0,9,2008,214347.83787062578
732,80,0,73.0,9590,0,1,0,0,2,0,0,7,5,2003,2003,0.0,442.0,0,2.0,0,3.0,786,0,82,868,0,1146,0,0,1146,1,0,2,0,3,1,0,6,1,0.0,2003.0,2.0,2,438,0.0,0.0,0,160,22,0,0,0,0,0,5,2007,219844.50160710374
41,20,0,84.0,8658,0,0,0,0,0,0,0,6,5,1965,1965,0.0,101.0,1,1.0,0,0.0,643,0,445,1088,0,1324,0,0,1324,0,0,2,0,3,1,1,6,1,1.0,1965.0,0.0,2,440,0.0,0.0,0,0,138,0,0,0,0,0,12,2006,120268.7340714559
1185,20,0,50.0,35133,1,0,0,0,0,1,0,5,4,1963,1963,0.0,226.0,1,1.0,0,1.0,1159,0,413,1572,0,1572,0,0,1572,1,0,1,1,3,1,1,5,2,1.0,1963.0,0.0,3,995,0.0,0.0,0,0,263,0,0,263,0,0,5,2007,214782.25297257304
541,20,0,85.0,14601,0,0,0,0,0,0,0,9,5,2006,2006,0.0,584.0,2,2.0,0,3.0,1260,0,578,1838,0,1838,0,0,1838,1,0,2,0,2,1,2,8,1,0.0,2006.0,2.0,3,765,0.0,0.0,0,270,68,0,0,0,0,0,3,2009,381875.3693872234
1028,20,0,71.0,9520,0,1,3,0,0,0,0,8,5,2007,2008,1.0,338.0,0,0.0,0,1.0,1513,0,125,1638,0,1646,0,0,1646,1,0,2,0,3,1,0,7,1,0.0,2008.0,0.0,3,800,0.0,0.0,0,192,44,0,0,0,0,0,4,2008,307060.04625727003
3,60,0,68.0,11250,0,1,0,0,0,0,0,7,5,2001,2002,0.0,162.0,0,0.0,0,2.0,486,0,434,920,0,920,866,0,1786,1,0,2,1,3,1,0,6,1,1.0,2001.0,0.0,2,608,0.0,0.0,0,0,42,0,0,0,0,0,9,2008,217429.06387009937
1434,60,0,93.0,10261,0,1,0,0,0,0,0,6,5,2000,2000,0.0,318.0,1,0.0,0,0.0,0,0,936,936,0,962,830,0,1792,1,0,2,1,3,1,1,8,1,1.0,2000.0,2.0,2,451,0.0,0.0,0,0,0,0,0,0,0,0,5,2008,206494.33571277652
259,60,0,80.0,12435,0,0,0,0,0,0,0,7,5,2001,2001,0.0,172.0,0,0.0,0,0.0,361,0,602,963,0,963,829,0,1792,0,0,2,1,3,1,0,7,1,1.0,2001.0,0.0,2,564,0.0,0.0,0,0,96,0,245,0,0,0,5,2008,232580.05720215477
83,20,0,78.0,10206,0,0,0,0,0,0,0,8,5,2007,2007,1.0,468.0,1,0.0,0,0.0,33,0,1530,1563,0,1563,0,0,1563,0,0,2,0,3,1,0,6,1,0.0,2007.0,0.0,3,758,0.0,0.0,0,144,99,0,0,0,0,0,10,2008,251735.02966082003
413,20,3,78.0,4403,0,2,0,0,0,0,0,7,5,2009,2009,1.0,432.0,2,2.0,0,3.0,578,0,892,1470,0,1478,0,0,1478,1,0,2,1,2,1,0,7,1,0.0,2009.0,2.0,2,484,0.0,0.0,0,0,144,0,0,0,0,0,6,2010,236883.9997340762
422,20,0,89.0,16635,0,1,0,0,1,0,0,6,7,1977,2000,1.0,126.0,0,0.0,0,0.0,1246,0,356,1602,0,1602,0,0,1602,0,1,2,0,3,1,0,8,1,1.0,1977.0,2.0,2,529,0.0,0.0,0,240,0,0,0,0,0,0,6,2009,197233.1578543638
1287,20,0,46.666666666666664,9790,0,0,0,0,0,0,0,6,5,1963,1963,0.0,451.0,1,1.0,0,0.0,569,81,678,1328,0,1328,0,0,1328,1,0,1,1,3,1,1,6,2,0.0,1963.0,1.0,2,528,0.0,0.0,0,0,26,0,0,0,0,0,6,2010,187397.83196316985
179,20,0,63.0,17423,0,1,0,0,3,0,0,9,5,2008,2009,1.0,748.0,2,2.0,0,0.0,1904,0,312,2216,0,2234,0,0,2234,1,0,2,0,1,1,2,9,1,0.0,2009.0,2.0,3,1166,0.0,0.0,0,0,60,0,0,0,0,0,7,2009,399428.06171669904
388,80,0,72.0,7200,0,0,0,0,0,0,0,6,6,1976,1976,0.0,255.0,1,1.0,0,3.0,631,0,410,1041,0,1125,0,0,1125,1,0,1,0,3,1,1,6,1,3.0,1977.0,1.0,1,352,0.0,0.0,0,296,0,0,0,0,0,0,10,2009,165827.82870749198
1223,50,0,78.0,10496,0,0,0,0,0,0,0,6,6,1949,1950,0.0,320.0,1,1.0,0,2.0,196,0,844,1040,0,1168,678,0,1846,0,0,2,0,3,1,1,7,1,0.0,1949.0,1.0,1,315,0.0,0.0,0,0,0,0,0,0,0,0,1,2007,125470.70244677225
1243,85,0,85.0,10625,0,0,0,0,0,0,0,7,6,1974,1974,0.0,81.0,1,0.0,0,1.0,885,168,0,1053,0,1173,0,0,1173,1,0,2,0,3,1,0,6,2,1.0,1974.0,0.0,2,528,0.0,0.0,0,0,120,0,0,0,0,0,1,2010,158376.71942739235
131,60,0,88.0,14200,0,0,0,0,2,0,0,7,6,1966,1966,0.0,309.0,1,1.0,0,0.0,445,0,479,924,0,1216,941,0,2157,0,0,2,1,4,1,0,8,2,0.0,1966.0,2.0,2,487,0.0,0.0,0,105,66,0,0,0,0,0,5,2006,215096.4638910275
153,60,0,99.33333333333333,14803,0,1,0,0,3,0,0,6,5,1971,1971,0.0,252.0,1,1.0,0,0.0,416,0,409,825,0,1097,896,0,1993,0,0,2,1,4,1,1,8,1,0.0,1971.0,0.0,2,495,0.0,0.0,0,0,66,0,0,0,0,0,6,2006,159761.11841080151
1452,20,0,78.0,9262,0,0,0,0,0,0,0,8,5,2008,2009,1.0,194.0,0,0.0,0,0.0,0,0,1573,1573,0,1578,0,0,1578,0,0,2,0,3,1,2,7,1,0.0,2008.0,2.0,3,840,0.0,0.0,0,0,36,0,0,0,0,0,5,2009,255955.6650918345
1079,120,1,37.0,4435,0,0,0,0,0,0,3,6,5,2004,2004,0.0,169.0,0,0.0,0,2.0,662,0,186,848,0,848,0,0,848,1,0,1,0,1,1,0,3,1,0.0,2004.0,0.0,2,420,0.0,0.0,0,140,0,0,0,0,0,0,5,2006,158813.82045812812
380,60,0,60.0,8123,0,1,0,0,0,0,0,6,5,2000,2000,0.0,16.0,1,0.0,0,0.0,0,0,982,982,0,1007,793,0,1800,0,0,2,1,3,1,1,7,1,1.0,2000.0,2.0,2,463,0.0,0.0,0,100,63,0,0,0,0,0,6,2009,172122.82728864253
369,20,0,78.0,7800,0,0,0,0,0,0,0,5,6,1954,1954,0.0,200.0,1,1.0,0,0.0,540,0,728,1268,0,1268,0,0,1268,0,0,1,0,2,1,1,7,1,0.0,1954.0,2.0,1,244,0.0,0.0,0,0,98,0,0,0,0,0,3,2010,64074.031539774965
1374,20,0,80.0,11400,0,0,0,0,0,0,0,10,5,2001,2002,0.0,705.0,2,2.0,0,1.0,1282,0,1351,2633,0,2633,0,0,2633,1,0,2,1,2,1,2,8,2,0.0,2001.0,0.0,3,804,0.0,0.0,0,314,140,0,0,0,0,0,3,2007,431465.76359082153
175,20,0,47.0,12416,0,1,0,0,0,0,0,6,5,1986,1986,1.0,132.0,1,0.0,2,0.0,1398,208,0,1606,0,1651,0,0,1651,1,0,2,0,3,1,1,7,1,1.0,1986.0,2.0,2,616,0.0,0.0,0,192,0,0,0,0,0,0,11,2008,211581.10187824257
71,20,0,95.0,13651,0,1,0,0,0,0,0,7,6,1973,1973,0.0,1115.0,1,0.0,0,1.0,1880,0,343,2223,0,2223,0,0,2223,1,0,2,0,3,1,1,8,2,0.0,1973.0,2.0,2,516,0.0,0.0,0,300,0,0,0,0,0,0,2,2007,289502.5987962377
105,50,1,84.5,7758,0,0,0,0,2,0,0,7,4,1931,1950,0.0,600.0,1,1.0,0,0.0,224,0,816,1040,0,1226,592,0,1818,0,0,1,1,4,1,1,7,2,1.0,1951.0,1.0,1,240,0.0,0.0,0,0,0,0,0,184,0,0,6,2007,175201.49103126302
775,20,0,110.0,14226,0,0,0,0,2,0,0,8,5,2006,2006,0.0,375.0,0,0.0,0,3.0,0,0,1935,1935,0,1973,0,0,1973,0,0,2,0,3,1,0,9,1,0.0,2006.0,2.0,3,895,0.0,0.0,0,315,45,0,0,0,0,0,7,2007,289659.0911654369
539,20,0,71.0,11553,0,1,0,0,0,0,0,5,5,1968,1968,0.0,188.0,1,1.0,0,0.0,673,0,378,1051,0,1159,0,0,1159,0,0,1,1,3,1,1,7,1,3.0,1968.0,1.0,1,336,0.0,0.0,0,466,0,0,0,0,0,0,7,2006,128152.18805547943
301,190,0,90.0,15750,0,0,0,0,2,0,1,5,5,1953,1953,0.0,56.0,1,1.0,0,2.0,841,0,324,1165,0,1336,0,0,1336,1,0,1,0,2,1,1,5,2,0.0,1953.0,1.0,1,375,0.0,0.0,0,0,0,0,0,0,0,0,6,2006,25831.401196082123
886,120,3,50.0,5119,0,1,0,0,3,0,3,9,5,1999,2000,0.0,60.0,0,2.0,0,3.0,1238,0,460,1698,0,1709,0,0,1709,1,0,2,0,2,1,0,5,1,1.0,1999.0,2.0,2,506,0.0,0.0,0,97,65,0,0,0,0,0,1,2008,280519.60515878396
102,60,0,77.0,9206,0,0,0,0,0,0,0,6,5,1985,1985,0.0,336.0,0,0.0,0,0.0,0,0,741,741,0,977,755,0,1732,0,0,2,1,3,1,0,7,1,1.0,1985.0,2.0,2,476,0.0,0.0,0,192,46,0,0,0,0,0,6,2010,153955.68045698153
1255,60,0,60.0,6931,0,0,0,0,0,0,0,7,5,2003,2004,1.0,92.0,0,0.0,0,0.0,0,0,746,746,0,760,896,0,1656,0,0,2,1,3,1,0,7,1,0.0,2003.0,2.0,2,397,0.0,0.0,0,178,128,0,0,0,0,0,7,2008,188147.56946472824
696,20,0,54.0,13811,0,1,0,0,0,0,0,6,6,1987,1987,0.0,72.0,1,0.0,1,0.0,980,40,92,1112,0,1137,0,0,1137,1,0,2,0,2,1,0,5,1,1.0,1987.0,1.0,2,551,0.0,0.0,0,125,0,0,0,0,0,0,7,2006,181512.6538007604
1047,60,0,85.0,16056,0,1,0,0,0,0,0,9,5,2005,2006,1.0,208.0,0,2.0,0,3.0,240,0,1752,1992,0,1992,876,0,2868,0,0,3,1,4,1,2,11,1,0.0,2005.0,2.0,3,716,0.0,0.0,0,214,108,0,0,0,0,0,7,2006,361431.5894614081
899,20,0,100.0,12919,0,1,0,0,0,0,0,9,5,2009,2010,1.0,760.0,2,2.0,0,1.0,2188,0,142,2330,0,2364,0,0,2364,1,0,2,1,2,1,2,11,2,0.0,2009.0,2.0,3,820,0.0,0.0,0,0,67,0,0,0,0,0,3,2010,401789.4640779332
982,60,0,98.0,12203,0,1,0,0,2,0,0,8,5,1998,1999,0.0,975.0,0,0.0,0,0.0,854,0,371,1225,0,1276,1336,0,2612,1,0,2,1,4,1,0,8,1,1.0,1998.0,2.0,3,676,0.0,0.0,0,250,0,0,0,0,0,0,7,2009,341543.2248876919
1142,60,0,68.5,10304,0,1,0,0,3,0,0,5,7,1976,1976,0.0,44.0,1,1.0,0,0.0,381,0,399,780,0,1088,780,0,1868,1,0,2,1,4,1,0,9,1,1.0,1976.0,1.0,2,484,0.0,0.0,0,448,96,0,0,0,0,0,10,2009,203072.1875980096
1443,60,3,85.0,11003,0,0,0,0,0,0,0,10,5,2008,2008,1.0,160.0,2,2.0,0,3.0,765,0,252,1017,0,1026,981,0,2007,1,0,2,1,3,1,2,10,1,2.0,2008.0,2.0,3,812,0.0,0.0,0,168,52,0,0,0,0,0,4,2009,424544.94031575974
479,20,0,79.0,10637,0,0,0,0,0,0,0,8,5,2007,2008,1.0,336.0,0,2.0,0,1.0,1288,0,417,1705,0,1718,0,0,1718,1,0,2,0,3,1,0,7,1,0.0,2007.0,0.0,3,826,0.0,0.0,0,208,44,0,0,0,0,0,9,2009,300975.86349072587
629,60,0,70.0,11606,0,1,3,0,0,2,0,5,5,1969,1969,0.0,192.0,1,0.0,0,3.0,650,0,390,1040,0,1040,1040,0,2080,0,1,1,2,5,1,3,9,2,1.0,1969.0,1.0,2,504,0.0,0.0,0,335,0,0,0,0,0,0,9,2007,291452.4502886641
14,20,0,91.0,10652,0,1,0,0,0,0,0,7,5,2006,2007,1.0,306.0,0,0.0,0,3.0,0,0,1494,1494,0,1494,0,0,1494,0,0,2,0,3,1,0,7,1,0.0,2006.0,0.0,3,840,0.0,0.0,0,160,33,0,0,0,0,0,8,2007,228965.75338832522
152,20,0,107.0,13891,0,0,0,0,0,0,0,8,5,2007,2008,1.0,436.0,0,2.0,0,1.0,1400,0,310,1710,0,1710,0,0,1710,1,0,2,0,2,1,0,6,1,0.0,2007.0,0.0,3,866,0.0,0.0,0,0,102,0,0,0,0,0,1,2008,273430.77836408233
350,60,0,56.0,20431,0,2,0,0,0,0,0,9,5,2005,2006,0.0,870.0,2,2.0,0,0.0,1410,0,438,1848,0,1848,880,0,2728,1,0,2,1,4,1,2,10,2,2.0,2006.0,2.0,3,706,0.0,0.0,0,0,0,0,0,0,0,0,4,2006,445764.67455968214
1356,80,0,102.0,10192,0,1,0,0,0,0,0,7,6,1968,1992,0.0,143.0,1,1.0,0,0.0,0,0,570,570,0,1222,698,0,1920,0,0,3,0,4,1,0,8,1,1.0,1968.0,0.0,2,487,0.0,0.0,0,0,98,0,0,0,0,0,9,2006,162143.51898740232
303,20,0,118.0,13704,0,1,0,0,2,0,0,7,5,2001,2002,0.0,150.0,0,0.0,0,0.0,0,0,1541,1541,0,1541,0,0,1541,0,0,2,0,3,1,0,6,1,1.0,2001.0,0.0,3,843,0.0,0.0,0,468,81,0,0,0,0,0,1,2006,217980.2371913609
1352,60,0,70.0,9247,0,1,0,0,0,0,0,6,6,1962,1962,0.0,318.0,1,1.0,0,0.0,319,0,539,858,0,858,858,0,1716,0,0,1,1,4,1,1,8,1,0.0,1962.0,2.0,2,490,0.0,0.0,0,0,84,0,0,120,0,0,3,2008,167733.47402556986
261,80,0,120.0,19296,0,0,0,0,2,0,0,6,5,1962,1962,0.0,399.0,1,1.0,0,1.0,672,690,0,1362,0,1382,0,0,1382,1,0,1,0,3,1,1,6,1,1.0,1991.0,1.0,2,884,0.0,0.0,0,0,0,252,0,0,0,0,5,2009,137168.53982352745
368,80,0,101.0,9150,0,1,0,0,2,0,0,6,5,1962,1962,0.0,305.0,1,0.0,0,1.0,371,0,728,1099,0,1431,0,0,1431,0,1,1,0,3,1,1,6,1,0.0,1962.0,0.0,1,296,0.0,0.0,0,64,110,0,0,0,0,0,12,2008,67314.41546634026
8,60,0,63.0,10382,0,1,0,0,2,0,0,7,6,1973,1973,1.0,240.0,1,0.0,0,2.0,859,32,216,1107,0,1107,983,0,2090,1,0,2,1,3,1,1,7,2,1.0,1973.0,0.0,2,484,0.0,0.0,0,235,204,228,0,0,0,350,11,2009,266635.23891472537
59,60,0,66.0,13682,0,2,3,0,3,0,0,10,5,2006,2006,0.0,1031.0,2,2.0,0,1.0,0,0,1410,1410,0,1426,1519,0,2945,0,0,3,1,3,1,0,10,1,0.0,2006.0,2.0,3,641,0.0,0.0,0,192,0,37,0,0,0,0,10,2006,469758.46907324996
474,20,0,110.0,14977,0,1,0,0,0,0,0,8,5,2006,2007,0.0,304.0,0,2.0,0,1.0,1350,0,626,1976,0,1976,0,0,1976,1,0,2,0,2,1,0,7,1,2.0,2006.0,0.0,3,908,0.0,0.0,0,250,63,0,0,0,0,0,7,2007,300947.09225216415
989,60,0,74.0,12046,0,1,0,0,0,0,0,6,6,1976,1976,0.0,298.0,1,1.0,0,0.0,156,0,692,848,0,1118,912,0,2030,0,0,2,1,4,1,0,8,1,1.0,1976.0,2.0,2,551,0.0,0.0,0,0,224,0,0,0,0,0,6,2007,153617.32132435404
1313,60,0,88.0,9572,0,1,0,0,0,0,0,8,5,1990,1990,0.0,336.0,0,2.0,0,0.0,482,0,971,1453,0,1453,1357,0,2810,0,0,2,1,4,1,0,9,1,2.0,1990.0,0.0,2,750,1.0,1.0,0,500,0,0,0,0,0,0,6,2007,229009.10284718033
209,60,0,63.33333333333333,14364,0,1,2,0,0,1,0,7,5,1988,1989,0.0,128.0,0,0.0,0,1.0,1065,0,92,1157,0,1180,882,0,2062,1,0,2,1,3,1,1,7,1,0.0,1988.0,2.0,2,454,0.0,0.0,0,60,55,0,0,154,0,0,4,2007,282914.35999076115
831,20,0,80.0,11900,0,1,0,0,2,0,0,6,5,1957,1957,0.0,387.0,1,1.0,0,0.0,1040,0,352,1392,0,1392,0,0,1392,1,0,1,1,3,1,1,6,2,0.0,1957.0,0.0,2,458,0.0,0.0,0,0,0,0,0,192,0,0,6,2008,204843.67671866762
1427,60,0,81.0,10944,0,1,0,0,0,0,0,7,5,1994,1994,0.0,448.0,0,0.0,0,0.0,1000,0,223,1223,0,1223,904,0,2127,1,0,2,1,3,1,0,5,2,1.0,1994.0,0.0,2,525,0.0,0.0,0,171,132,0,0,0,0,0,8,2008,214522.1889250693
667,60,0,85.5,18450,0,1,0,0,0,0,0,6,5,1965,1979,2.0,113.0,1,0.0,0,0.0,187,723,111,1021,0,1465,915,0,2380,0,0,2,1,3,1,1,7,1,4.0,1965.0,1.0,2,596,0.0,0.0,0,0,265,0,0,0,0,0,8,2007,162080.89388857642
273,60,0,92.0,11764,0,1,0,0,3,0,0,8,7,1999,2007,0.0,348.0,0,0.0,0,0.0,524,0,628,1152,0,1164,1106,0,2270,0,0,2,1,4,1,0,9,1,0.0,1999.0,2.0,3,671,0.0,0.0,0,132,57,0,0,0,0,0,4,2010,297353.5597419841
781,20,0,63.0,7875,0,0,0,0,0,0,0,7,5,1995,1996,0.0,38.0,1,0.0,1,0.0,0,0,1237,1237,0,1253,0,0,1253,0,0,2,0,3,1,1,6,1,1.0,1995.0,2.0,2,402,0.0,0.0,0,220,21,0,0,0,0,0,6,2007,200012.04468702944
596,20,0,69.0,11302,0,1,0,0,0,0,0,8,5,2005,2006,0.0,238.0,0,0.0,0,1.0,1422,0,392,1814,0,1826,0,0,1826,1,0,2,0,3,1,0,7,1,1.0,2005.0,2.0,3,758,0.0,0.0,0,180,75,0,0,120,0,0,8,2006,314334.07531517185
360,60,0,78.0,12011,0,1,0,0,3,0,0,8,5,1998,1998,0.0,530.0,0,0.0,0,3.0,956,0,130,1086,0,1086,838,0,1924,1,0,2,1,3,1,0,7,1,1.0,1998.0,0.0,2,592,0.0,0.0,0,208,75,0,0,374,0,0,6,2006,354963.29841578193
727,20,0,62.0,21695,0,1,0,0,2,0,0,6,9,1988,2007,0.0,260.0,0,0.0,0,0.0,808,0,72,880,0,1680,0,0,1680,1,0,2,0,3,1,0,5,1,0.0,1988.0,2.0,2,540,0.0,0.0,0,292,44,0,182,0,0,0,12,2009,247683.92943425477
581,20,0,89.5,14585,0,1,0,0,3,0,0,6,6,1960,1987,0.0,85.0,1,1.0,0,0.0,594,219,331,1144,0,1429,0,0,1429,0,1,1,0,3,1,0,7,2,0.0,1960.0,1.0,2,572,0.0,0.0,0,216,110,0,0,0,0,0,6,2007,183881.03702088213
